Region,Fold,MAE,RMSE,MASE,WAPE (%)
Barents Sea,1,4.981827735900879,6.022027905853389,7.430803018595301,20.079018
Barents Sea,2,3.7534992694854736,4.54860085574378,5.579282748707425,14.719218
Barents Sea,3,1.9284098148345947,2.323126117746055,2.8594682824865063,7.2056336
Barents Sea,4,2.602330446243286,3.247943961416432,3.8588967778343592,11.298262
Barents Sea,5,1.517711877822876,1.8221899346008419,2.2474186518253867,7.268507
Barents Sea,6,1.497111439704895,1.8232865821079787,2.2175660240647845,8.365309
Barents Sea,7,1.5356794595718384,1.7823198685977815,2.2752105220062786,11.36625
Barents Sea,8,0.8945757746696472,1.1631954983885182,1.3258060652076702,9.154473
Barents Sea,9,0.84271639585495,1.0900226295816904,1.2510494832277435,11.780441
Barents Sea,10,0.8183515667915344,0.9406256070562793,1.216347750126054,13.940085
Barents Sea,11,0.5331994891166687,0.6644005532074083,0.7943855203173336,9.791678
Barents Sea,12,1.3223847150802612,1.6863869422408877,1.9728607572539305,28.068676
Barents Sea,13,0.9031782150268555,1.0597848420135543,1.3499401384442191,18.482172
Barents Sea,14,0.9813013076782227,1.1779127602680544,1.4694210867560993,30.265692
Barents Sea,15,0.4066513478755951,0.4710944199438693,0.6100260658714233,24.002861
Kara Sea,1,3.01676607131958,3.6320167244177437,2.441028423083878,3.2731566
Kara Sea,2,2.1606638431549072,2.615038179954011,1.7487063489926353,2.3539934
Kara Sea,3,2.6317410469055176,3.1169819011144417,2.1321055833613207,2.9106286
Kara Sea,4,2.579862356185913,3.142472667833185,2.09142809217211,3.0214417
Kara Sea,5,2.8301565647125244,3.415605069980953,2.294501010803154,3.3243313
Kara Sea,6,1.9042364358901978,2.3649149142680153,1.5442556180034683,2.3157623
Kara Sea,7,1.5736223459243774,1.8576066399584572,1.2779396251710071,2.006822
Kara Sea,8,1.2836755514144897,1.8163801293904809,1.0448176723303586,1.7042743
Kara Sea,9,4.746735572814941,5.72167927080665,3.865486201324924,7.0268073
Kara Sea,10,2.979735851287842,3.6804658426991144,2.423263562315872,5.1971784
Kara Sea,11,1.725204348564148,2.136762601133953,1.402292134530385,3.534744
Kara Sea,12,2.591114044189453,3.02660556776356,2.1037556525263614,6.595178
Kara Sea,13,2.3568789958953857,2.734647464801338,1.9167505618778677,6.715653
